time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-16 09:30:00-05:00,AITrader,5df11941bf0847988a24b35476fe18ae,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,AITrader,5df11941bf0847988a24b35476fe18ae,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,105.0,0.0
2024-01-17 09:30:00-05:00,AITrader,e83f4d10004d4213874aa192d6c9dd04,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,AITrader,e83f4d10004d4213874aa192d6c9dd04,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,53.0,0.0
2024-01-18 09:30:00-05:00,AITrader,75f5aeb152ac489a9c362612a2fcc5f9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 09:30:00-05:00,AITrader,75f5aeb152ac489a9c362612a2fcc5f9,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,26.0,0.0
2024-01-19 09:30:00-05:00,AITrader,edee2666b53245c3939b4170264cd5c0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-19 09:30:00-05:00,AITrader,edee2666b53245c3939b4170264cd5c0,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.6499938964844,13.0,0.0
2024-01-22 09:30:00-05:00,AITrader,e769e9ba7caf43278e06bad33ae978b1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-22 09:30:00-05:00,AITrader,e769e9ba7caf43278e06bad33ae978b1,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,6.0,0.0
2024-01-23 09:30:00-05:00,AITrader,756f326d5bf046069b4075d642fe1f4d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-23 09:30:00-05:00,AITrader,756f326d5bf046069b4075d642fe1f4d,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,3.0,0.0
2024-01-24 09:30:00-05:00,AITrader,afbb01955b294132bfc27d494cd43733,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-24 09:30:00-05:00,AITrader,afbb01955b294132bfc27d494cd43733,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.80999755859375,2.0,0.0
2024-01-25 09:30:00-05:00,AITrader,268c6cab3b9640bbbc21d3b7426645ca,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-25 09:30:00-05:00,AITrader,268c6cab3b9640bbbc21d3b7426645ca,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.5799865722656,1.0,0.0
